City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto aysen,-45.4,-72.7,278.76,98,85,1.88,CL,1711943566
1,luderitz,-26.6481,15.1594,289.32,86,0,5.44,NA,1711943695
2,floro,61.5996,5.0328,276.61,93,20,3.09,NO,1711943770
3,ushuaia,-54.8,-68.3,276.96,75,75,3.6,AR,1711943590
4,klyuchi,52.2667,79.1667,277.99,62,98,4.66,RU,1711943732
5,tuni,17.35,82.55,306.66,38,3,4.16,IN,1711943770
6,ola,59.5833,151.2833,272.8,74,19,3.86,RU,1711943758
7,badger,64.8,-147.5333,275.29,81,100,6.69,US,1711943730
8,qaqortoq,60.7167,-46.0333,264.7,72,80,2.39,GL,1711943723
9,atbasar,51.8,68.3333,273.32,82,72,5.66,KZ,1711943771
10,stanley,54.868,-1.6985,278.86,94,75,5.66,GB,1711943648
11,praia da vitoria,38.7333,-27.0667,288.57,94,40,8.14,PT,1711943765
12,talcahuano,-36.7167,-73.1167,283.97,76,0,2.57,CL,1711943638
13,san andres,12.5847,-81.7006,301.16,69,20,3.09,CO,1711943772
14,guerrero negro,27.9769,-114.0611,288.91,67,1,5.89,MX,1711943706
15,waitangi,-43.9535,-176.5597,286.94,91,81,2.24,NZ,1711943688
16,isafjordur,66.0755,-23.124,268.11,81,100,11.36,IS,1711943690
17,whitehorse,60.7161,-135.0538,275.58,32,20,8.75,CA,1711943716
18,ribeira grande,38.5167,-28.7,289.14,92,100,8.49,PT,1711943704
19,westport,41.1415,-73.3579,284.72,59,100,1.62,US,1711943747
20,port-aux-francais,-49.35,70.2167,277.9,71,88,9.94,TF,1711943687
21,acarau,-2.8856,-40.12,297.67,89,100,2.3,BR,1711943702
22,zhezqazghan,47.7833,67.7667,275.47,75,0,3.0,KZ,1711943704
23,utrik,11.2278,169.8474,300.16,78,92,8.57,MH,1711943689
24,tiksi,71.6872,128.8694,264.14,84,100,9.14,RU,1711943704
25,punta arenas,-53.15,-70.9167,278.21,87,75,3.6,CL,1711943538
26,yellowknife,62.456,-114.3525,275.05,79,100,9.26,CA,1711943691
27,lebu,-37.6167,-73.65,283.61,76,23,4.62,CL,1711943692
28,kodiak,57.79,-152.4072,274.88,93,40,0.0,US,1711943701
29,kismayo,-0.3582,42.5454,301.47,74,40,3.47,SO,1711943775
30,papatowai,-46.5619,169.4708,284.86,71,95,2.04,NZ,1711943696
31,kyshtovka,56.555,76.6271,273.34,91,100,4.02,RU,1711943775
32,edinburgh of the seven seas,-37.0676,-12.3116,290.43,76,100,6.55,SH,1711943686
33,borzya,50.3833,116.5167,275.53,21,65,2.93,RU,1711943776
34,anadyr,64.75,177.4833,251.48,69,0,6.0,RU,1711943746
35,keflavik,64.0049,-22.5624,270.39,59,0,11.32,IS,1711943742
36,howrah,22.5892,88.3103,306.15,58,0,3.09,IN,1711943603
37,newman,37.3138,-121.0208,287.14,82,54,2.68,US,1711943777
38,blackmans bay,-43.0167,147.3167,293.0,70,100,0.45,AU,1711943690
